frame,time,act,segment,payload,mask,iterations,cv_block_errors,zx_block_errors,cv_min_margin,zx_min_margin,weak,risky_codewords,lifted,grown
0,0.0,title,0,Pause anywhere. Scan me.,7,0,1,0,-0.15650588274002075,45.0,1,1,0,0
1,0.033,title,0,Pause anywhere. Scan me.,7,0,1,0,-0.15650588274002075,45.0,1,1,0,0
2,0.067,title,0,Pause anywhere. Scan me.,7,0,1,0,-0.15650588274002075,45.0,1,1,0,0
3,0.1,title,0,Pause anywhere. Scan me.,7,0,1,0,-0.15650588274002075,45.0,1,1,0,0
4,0.133,title,0,Pause anywhere. Scan me.,7,0,1,0,-0.15650588274002075,45.0,1,1,0,0
5,0.167,title,0,Pause anywhere. Scan me.,7,0,1,0,-0.15650588274002075,45.0,1,1,0,0
6,0.2,title,0,Pause anywhere. Scan me.,7,0,1,0,-0.15650588274002075,45.0,1,1,0,0
7,0.233,title,0,Pause anywhere. Scan me.,7,0,1,0,-0.15650588274002075,45.0,1,1,0,0
8,0.267,title,0,Pause anywhere. Scan me.,7,0,1,0,-0.15650588274002075,45.0,1,1,0,0
9,0.3,title,0,Pause anywhere. Scan me.,7,0,1,0,-0.15650588274002075,45.0,1,1,0,0
10,0.333,title,0,Pause anywhere. Scan me.,7,0,1,0,-0.15650588274002075,45.0,1,1,0,0
11,0.367,title,0,Pause anywhere. Scan me.,7,0,1,0,-0.15650588274002075,45.0,1,1,0,0
12,0.4,title,0,Pause anywhere. Scan me.,7,0,1,0,-0.15650588274002075,45.0,1,1,0,0
13,0.433,title,0,Pause anywhere. Scan me.,7,0,1,0,-0.15650588274002075,45.0,1,1,0,0
14,0.467,title,0,Pause anywhere. Scan me.,7,0,1,0,-0.15650588274002075,45.0,1,1,0,0
15,0.5,title,0,Pause anywhere. Scan me.,7,0,1,0,-0.15650588274002075,45.0,1,1,0,0
16,0.533,title,0,Pause anywhere. Scan me.,7,0,1,0,-0.15650588274002075,45.0,1,1,0,0
17,0.567,title,0,Pause anywhere. Scan me.,7,0,1,0,-0.15650588274002075,45.0,1,1,0,0
18,0.6,title,0,Pause anywhere. Scan me.,7,0,1,0,-0.15650588274002075,45.0,1,1,0,0
19,0.633,title,0,Pause anywhere. Scan me.,7,0,1,0,-0.15650588274002075,45.0,1,1,0,0
20,0.667,title,0,Pause anywhere. Scan me.,7,0,1,0,-0.15650588274002075,45.0,1,1,0,0
21,0.7,title,0,Pause anywhere. Scan me.,7,0,1,0,-0.15650588274002075,45.0,1,1,0,0
22,0.733,title,0,Pause anywhere. Scan me.,7,0,1,0,-0.15650588274002075,45.0,1,1,0,0
23,0.767,title,0,Pause anywhere. Scan me.,7,0,1,0,-0.15650588274002075,45.0,1,1,0,0
24,0.8,title,0,Pause anywhere. Scan me.,7,0,1,0,-0.15650588274002075,45.0,1,1,0,0
25,0.833,title,0,Pause anywhere. Scan me.,7,0,1,0,-0.15650588274002075,45.0,1,1,0,0
26,0.867,title,0,Pause anywhere. Scan me.,7,0,1,0,-0.15650588274002075,45.0,1,1,0,0
27,0.9,title,0,Pause anywhere. Scan me.,7,0,1,0,-0.15650588274002075,45.0,1,1,0,0
28,0.933,title,0,Pause anywhere. Scan me.,7,0,1,0,-0.15650588274002075,45.0,1,1,0,0
29,0.967,title,0,Pause anywhere. Scan me.,7,0,1,0,-0.15650588274002075,45.0,1,1,0,0
30,1.0,title,0,Pause anywhere. Scan me.,7,0,1,0,-0.15640538930892944,45.0,1,1,0,0
31,1.033,title,0,Pause anywhere. Scan me.,7,0,1,0,-0.1561363935470581,45.0,1,1,0,0
32,1.067,title,0,Pause anywhere. Scan me.,7,0,1,0,-0.15568947792053223,45.0,1,1,0,0
33,1.1,title,0,Pause anywhere. Scan me.,7,0,1,0,-0.1549532413482666,45.0,1,1,0,0
34,1.133,title,0,Pause anywhere. Scan me.,7,0,1,0,-0.15373748540878296,45.0,1,1,0,0
35,1.167,title,0,Pause anywhere. Scan me.,7,0,1,0,-0.152399480342865,45.0,1,1,0,0
36,1.2,title,0,Pause anywhere. Scan me.,7,0,1,0,-0.15052759647369385,45.0,1,1,0,0
37,1.233,title,0,Pause anywhere. Scan me.,7,0,1,0,-0.14877665042877197,45.0,1,1,0,0
38,1.267,title,0,Pause anywhere. Scan me.,7,0,1,0,-0.1465258002281189,24.0,1,1,0,0
39,1.3,title,0,Pause anywhere. Scan me.,7,0,1,0,-0.14374923706054688,41.0,1,1,0,0
40,1.333,title,0,Pause anywhere. Scan me.,7,0,1,0,-0.14049315452575684,45.0,1,1,0,0
41,1.367,title,0,Pause anywhere. Scan me.,7,0,1,0,-0.13765549659729004,21.0,1,1,0,0
42,1.4,title,0,Pause anywhere. Scan me.,7,0,1,0,-0.13442248106002808,19.0,1,1,0,0
