frame,time,act,segment,kind,expected,A_zxing,A_opencv,A_zbar,A_pass,B_down540_zxing,B_jpeg40_zxing,B_blur1.5_zxing,B_rot4_zxing,B_persp_zxing,B_gamma0.8_zxing,B_gamma1.25_zxing,B_pass,C_main_zxing,C_main_opencv,C_main_pass,C_xtest_zxing,C_xtest_opencv,C_xtest_pass,C_pass,pred_opencv_block_errors,pred_zxing_block_errors,safety_lifted,safety_grown
0,0.0,title,0,title,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,True,1,0,0,0
1,0.033,title,0,title,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,True,1,0,0,0
2,0.067,title,0,title,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,True,1,0,0,0
3,0.1,title,0,title,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,True,1,0,0,0
4,0.133,title,0,title,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,True,1,0,0,0
5,0.167,title,0,title,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,True,1,0,0,0
6,0.2,title,0,title,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,True,1,0,0,0
7,0.233,title,0,title,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,True,1,0,0,0
8,0.267,title,0,title,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,True,1,0,0,0
9,0.3,title,0,title,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,True,1,0,0,0
10,0.333,title,0,title,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,True,1,0,0,0
11,0.367,title,0,title,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,True,1,0,0,0
12,0.4,title,0,title,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,True,1,0,0,0
